nacekode	beskrivelse1	beskrivelse2
00.000	Uoppgitt	
01.110	Dyrking av korn (unntatt ris), belgvekster og oljeholdige vekster	
01.120	Dyrking av ris	
01.130	Dyrking av grønnsaker, meloner, rot- og knollvekster	
01.140	Dyrking av sukkerrør	
01.150	Dyrking av tobakk	
01.160	Dyrking av fibervekster	
01.190	Dyrking av ettårige vekster ellers	
01.210	Dyrking av druer	
01.220	Dyrking av tropiske og subtropiske frukter	
01.230	Dyrking av sitrusfrukter	
01.240	Dyrking av kjernefrukter og steinfrukter	
01.260	Dyrking av oljeholdige frukter	
01.270	Dyrking av vekster for produksjon av drikkevarer	
01.280	Dyrking av krydder og aromatiske, medisinske og farmasøytiske vekster	
01.290	Dyrking av flerårige vekster ellers	
01.300	Planteformering	
01.410	Melkeproduksjon på storfe	
01.420	Oppdrett av annet storfe	
01.430	Oppdrett av hester og andre dyr av hestefamilien	
01.440	Oppdrett av kameler og andre kameldyr	
01.451	Sauehold	
01.452	Geitehold	
01.460	Svinehold	
01.471	Hold av verpehøner for konsumeggproduksjon	
01.479	Annet fjørfehold	
01.490	Husdyrhold ellers	
01.500	Kombinert husdyrhold og planteproduksjon	
01.610	Tjenester tilknyttet planteproduksjon	
01.630	Etterbehandling av vekster etter innhøsting	
01.640	Behandling av såfrø	
01.700	Jakt, viltstell og tjenester tilknyttet jakt og viltstell	
02.100	Skogskjøtsel og andre skogbruksaktiviteter	
02.200	Avvirkning	
02.300	Innsamling av viltvoksende produkter av annet enn tre	
02.400	Tjenester tilknyttet skogbruk	
03.111	Hav- og kystfiske	
03.112	Hvalfangst	
03.120	Ferskvannsfiske	
03.211	Produksjon av matfisk og skalldyr i hav- og kystbasert fiskeoppdrett	
03.212	Produksjon av yngel og settefisk i hav- og kystbasert fiskeoppdrett	
03.213	Tjenester tilknyttet hav- og kystbasert fiskeoppdrett	
03.221	Produksjon av matfisk og skalldyr i ferskvannsbasert fiskeoppdrett	
03.222	Produksjon av yngel og settefisk i ferskvannsbasert fiskeoppdrett	
03.223	Tjenester tilknyttet ferskvannsbasert fiskeoppdrett	
05.100	Bryting av steinkull	
05.200	Bryting av brunkull	
06.100	Utvinning av råolje	
06.200	Utvinning av naturgass	
07.100	Bryting av jernmalm	
07.210	Bryting av uran- og thoriummalm	
07.290	Bryting av ikke-jernholdig malm ellers	
08.111	Bryting av stein til bygge- og anleggsvirksomhet	
08.112	Bryting av kalkstein, gips og kritt	
08.113	Bryting av skifer	
08.120	Utvinning fra grus- og sandtak, og utvinning av leire og kaolin	
08.910	Bryting og utvinning av kjemiske mineraler og gjødselsmineraler	
08.920	Stikking av torv	
08.930	Utvinning av salt	
08.990	Annen bryting og utvinning ikke nevnt annet sted	
09.101	Boretjenester tilknyttet utvinning av råolje og naturgass	
09.109	Andre tjenester tilknyttet utvinning av råolje og naturgass	
09.900	Tjenester tilknyttet annen bergverksdrift	
10.110	Bearbeiding og konservering av kjøtt	
10.120	Bearbeiding og konservering av fjørfekjøtt	
10.130	Produksjon av kjøtt- og fjørfevarer	
10.201	Produksjon av saltfisk, tørrfisk og klippfisk	
10.202	Frysing av fisk, fiskefileter, skalldyr og bløtdyr	
10.203	Produksjon av fiskehermetikk	
10.209	Slakting, bearbeiding og konservering av fisk og fiskevarer ellers	
10.310	Bearbeiding og konservering av poteter	
10.320	Produksjon av juice av frukt og grønnsaker	
10.390	Bearbeiding og konservering av frukt og grønnsaker ellers	
10.411	Produksjon av rå fiskeoljer og fett	
10.412	Produksjon av andre uraffinerte oljer og fett	
10.413	Produksjon av raffinerte oljer og fett	
10.420	Produksjon av margarin og lignende spiselige fettstoffer	
10.510	Produksjon av meierivarer	
10.520	Produksjon av iskrem	
10.610	Produksjon av kornvarer	
10.620	Produksjon av stivelse og stivelsesprodukter	
10.710	Produksjon av brød og ferske konditorvarer	
10.720	Produksjon av kavringer, kjeks og konserverte konditorvarer	
10.730	Produksjon av makaroni, nudler, couscous og lignende pastavarer	
10.810	Produksjon av sukker	
10.820	Produksjon av kakao, sjokolade og sukkervarer	
10.830	Bearbeiding av te og kaffe	
10.840	Produksjon av smakstilsettingsstoffer og krydderier	
10.850	Produksjon av ferdigmat	
10.860	Produksjon av homogeniserte matprodukter og diettmat	
10.890	Produksjon av næringsmidler ikke nevnt annet sted	
10.910	Produksjon av fôrvarer til husdyrhold	
10.920	Produksjon av fôrvarer til kjæledyr	
11.010	Destillering, rektifisering og blanding av sprit	
11.020	Produksjon av vin	
11.030	Produksjon av sider og annen fruktvin	
11.040	Produksjon av andre ikke-destillerte gjærede drikkevarer	
11.050	Produksjon av øl	
11.060	Produksjon av malt	
11.070	Produksjon av mineralvann, leskedrikker og annet vann på flaske	
12.000	Produksjon av tobakksvarer	
13.100	Bearbeiding og spinning av tekstilfibrer	
13.200	Veving av tekstiler	
13.300	Etterbehandling av tekstiler	
13.910	Produksjon av stoffer av trikotasje	
13.921	Produksjon av utstyrsvarer	
13.929	Produksjon av andre tekstilvarer, unntatt klær	
13.930	Produksjon av gulvtepper, -matter og -ryer	
13.940	Produksjon av tauverk og nett	
13.950	Produksjon av ikke-vevde tekstiler og tekstilvarer, unntatt klær	
13.960	Produksjon av tekstiler til teknisk og industriell bruk	
13.990	Produksjon av tekstiler ikke nevnt annet sted	
14.110	Produksjon av klær av lær	
14.120	Produksjon av arbeidstøy	
14.130	Produksjon av annet yttertøy	
14.140	Produksjon av undertøy og innertøy	
14.190	Produksjon av klær og tilbehør ellers	
14.200	Produksjon av pelsvarer	
14.310	Produksjon av strømpevarer	
14.390	Produksjon av andre klær av trikotasje	
15.110	Beredning av lær, og beredning og farging av pelsskinn	
15.120	Produksjon av reiseeffekter og salmakerartikler	
15.200	Produksjon av skotøy	
16.100	Saging, høvling og impregnering av tre	
16.210	Produksjon av finerplater og andre bygnings- og møbelplater av tre	
16.220	Produksjon av sammensatte parkettstaver	
16.231	Produksjon av monteringsferdige hus	
16.232	Produksjon av bygningsartikler	
16.240	Produksjon av treemballasje	
16.290	Produksjon av andre trevarer og varer av kork, strå og	flettematerialer
17.110	Produksjon av papirmasse	
17.120	Produksjon av papir og papp	
17.210	Produksjon av bølgepapp og emballasje av papir og papp	
17.220	Produksjon av husholdnings-, sanitær- og toalettartikler av papir	
17.230	Produksjon av kontorartikler av papir	
17.240	Produksjon av tapeter	
17.290	Produksjon av varer av papir og papp ellers	
18.110	Trykking av aviser	
18.120	Trykking ellers	
18.130	Ferdiggjøring før trykking og publisering	
18.140	Bokbinding og tilknyttede tjenester	
18.200	Reproduksjon av innspilte opptak	
19.100	Produksjon av kullprodukter	
19.200	Produksjon av raffinerte petroleumsprodukter	
20.110	Produksjon av industrigasser	
20.120	Produksjon av fargestoffer og pigmenter	
20.130	Produksjon av andre uorganiske kjemikalier	
20.140	Produksjon av andre organiske kjemiske råvarer	
20.150	Produksjon av gjødsel, nitrogenforbindelser og vekstjord	
20.160	Produksjon av basisplast	
20.170	Produksjon av syntetisk gummi	
20.200	Produksjon av plantevern- og skadedyrmidler og andre landbrukskjemiske	produkter
20.300	Produksjon av maling og lakk, trykkfarger og tetningsmidler	
20.410	Produksjon av såpe og vaskemidler, rense- og polermidler	
20.420	Produksjon av parfyme og toalettartikler	
20.510	Produksjon av eksplosiver	
20.520	Produksjon av lim	
20.530	Produksjon av eteriske oljer	
20.590	Produksjon av kjemiske produkter ikke nevnt annet sted	
20.600	Produksjon av kunstfibrer	
21.100	Produksjon av farmasøytiske råvarer	
21.200	Produksjon av farmasøytiske preparater	
22.110	Produksjon av gummidekk og slanger til gummidekk, og regummiering og	vulkanisering av gummidekk
22.190	Produksjon av gummiprodukter ellers	
22.210	Produksjon av halvfabrikater av plast	
22.220	Produksjon av plastemballasje	
22.230	Produksjon av byggevarer av plast	
22.290	Produksjon av plastprodukter ellers	
23.110	Produksjon av planglass	
23.120	Bearbeiding av planglass	
23.130	Produksjon av emballasje og husholdningsartikler av glass og krystall	
23.140	Produksjon av glassfibrer	
23.190	Produksjon av teknisk glass og andre glassvarer	
23.200	Produksjon av ildfaste produkter	
23.310	Produksjon av keramiske vegg- og gulvfliser	
